Puzzle ID,Initial State,Strategy,Solved,Depth,Expanded Nodes,Max Fringe Size,Execution Time
4,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 0, 12, 9, 13, 14, 15]",DFS,False,Unsolvable,N/A,N/A,N/A
4,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 0, 12, 9, 13, 14, 15]",UCS,False,Unsolvable,N/A,N/A,N/A
4,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 0, 12, 9, 13, 14, 15]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",BFS,True,2,10,19,0.0
5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",DFS,True,2,3,4,0.0
5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",UCS,True,2,10,19,0.0
5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",A* (Manhattan Distance),True,2,3,4,0.0009932518005371094
6,"[1, 2, 3, 4, 5, 6, 7, 0, 13, 9, 10, 8, 14, 15, 12, 11]",BFS,True,10,3019,4927,0.09905076026916504
6,"[1, 2, 3, 4, 5, 6, 7, 0, 13, 9, 10, 8, 14, 15, 12, 11]",DFS,False,N/A,2671244,60,37.78932237625122
6,"[1, 2, 3, 4, 5, 6, 7, 0, 13, 9, 10, 8, 14, 15, 12, 11]",UCS,True,10,3019,4927,3.009021282196045
6,"[1, 2, 3, 4, 5, 6, 7, 0, 13, 9, 10, 8, 14, 15, 12, 11]",A* (Manhattan Distance),True,10,11,20,0.0
7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",BFS,False,0,1,1,0.0
7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",DFS,False,0,1,1,0.0
7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",UCS,False,0,1,1,0.0
7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",A* (Manhattan Distance),False,0,1,0,0.0
8,"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 0, 11, 13, 15, 7, 12]",BFS,False,Unsolvable,N/A,N/A,N/A
8,"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 0, 11, 13, 15, 7, 12]",DFS,False,Unsolvable,N/A,N/A,N/A
8,"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 0, 11, 13, 15, 7, 12]",UCS,False,Unsolvable,N/A,N/A,N/A
8,"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 0, 11, 13, 15, 7, 12]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",BFS,False,Unsolvable,N/A,N/A,N/A
9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",DFS,False,Unsolvable,N/A,N/A,N/A
9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",UCS,False,Unsolvable,N/A,N/A,N/A
9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
10,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 11, 13, 14, 15, 12]",BFS,False,Unsolvable,N/A,N/A,N/A
10,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 11, 13, 14, 15, 12]",DFS,False,Unsolvable,N/A,N/A,N/A
10,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 11, 13, 14, 15, 12]",UCS,False,Unsolvable,N/A,N/A,N/A
10,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 11, 13, 14, 15, 12]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
11,"[1, 6, 2, 3, 5, 0, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",BFS,True,6,183,303,0.00399470329284668
11,"[1, 6, 2, 3, 5, 0, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",DFS,False,N/A,3302252,60,48.326942682266235
11,"[1, 6, 2, 3, 5, 0, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",UCS,True,6,183,303,0.009963750839233398
11,"[1, 6, 2, 3, 5, 0, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",A* (Manhattan Distance),True,6,7,12,0.0
12,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 12, 13, 14, 11, 15]",BFS,False,Unsolvable,N/A,N/A,N/A
12,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 12, 13, 14, 11, 15]",DFS,False,Unsolvable,N/A,N/A,N/A
12,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 12, 13, 14, 11, 15]",UCS,False,Unsolvable,N/A,N/A,N/A
12,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 12, 13, 14, 11, 15]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
13,"[1, 2, 4, 8, 5, 6, 3, 12, 9, 10, 7, 15, 13, 14, 11, 0]",BFS,True,8,416,668,0.006998777389526367
13,"[1, 2, 4, 8, 5, 6, 3, 12, 9, 10, 7, 15, 13, 14, 11, 0]",DFS,True,30,536009,56,6.964263916015625
13,"[1, 2, 4, 8, 5, 6, 3, 12, 9, 10, 7, 15, 13, 14, 11, 0]",UCS,True,8,416,668,0.045006513595581055
13,"[1, 2, 4, 8, 5, 6, 3, 12, 9, 10, 7, 15, 13, 14, 11, 0]",A* (Manhattan Distance),True,8,9,16,0.0
14,"[1, 2, 3, 4, 5, 6, 8, 0, 9, 10, 7, 12, 13, 14, 11, 15]",BFS,True,4,44,78,0.0008907318115234375
14,"[1, 2, 3, 4, 5, 6, 8, 0, 9, 10, 7, 12, 13, 14, 11, 15]",DFS,False,N/A,2671244,60,39.77326774597168
14,"[1, 2, 3, 4, 5, 6, 8, 0, 9, 10, 7, 12, 13, 14, 11, 15]",UCS,True,4,44,78,0.0009105205535888672
14,"[1, 2, 3, 4, 5, 6, 8, 0, 9, 10, 7, 12, 13, 14, 11, 15]",A* (Manhattan Distance),True,4,5,10,0.0009624958038330078
15,"[1, 2, 3, 4, 5, 7, 11, 8, 9, 6, 0, 12, 13, 10, 14, 15]",BFS,False,Unsolvable,N/A,N/A,N/A
15,"[1, 2, 3, 4, 5, 7, 11, 8, 9, 6, 0, 12, 13, 10, 14, 15]",DFS,False,Unsolvable,N/A,N/A,N/A
15,"[1, 2, 3, 4, 5, 7, 11, 8, 9, 6, 0, 12, 13, 10, 14, 15]",UCS,False,Unsolvable,N/A,N/A,N/A
15,"[1, 2, 3, 4, 5, 7, 11, 8, 9, 6, 0, 12, 13, 10, 14, 15]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",BFS,True,2,10,19,0.0
16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",DFS,True,2,3,4,0.0
16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",UCS,True,2,10,19,0.0
16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",A* (Manhattan Distance),True,2,3,4,0.0
17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",BFS,False,Unsolvable,N/A,N/A,N/A
17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",DFS,False,Unsolvable,N/A,N/A,N/A
17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",UCS,False,Unsolvable,N/A,N/A,N/A
17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
18,"[1, 6, 2, 3, 5, 0, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",BFS,True,6,183,303,0.003003835678100586
18,"[1, 6, 2, 3, 5, 0, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",DFS,False,N/A,3302252,60,49.19241380691528
18,"[1, 6, 2, 3, 5, 0, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",UCS,True,6,183,303,0.010016202926635742
18,"[1, 6, 2, 3, 5, 0, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",A* (Manhattan Distance),True,6,7,12,0.0
19,"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12]",BFS,False,Unsolvable,N/A,N/A,N/A
19,"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12]",DFS,False,Unsolvable,N/A,N/A,N/A
19,"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12]",UCS,False,Unsolvable,N/A,N/A,N/A
19,"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
20,"[1, 2, 3, 4, 5, 10, 6, 8, 0, 9, 7, 12, 13, 14, 11, 15]",BFS,False,Unsolvable,N/A,N/A,N/A
20,"[1, 2, 3, 4, 5, 10, 6, 8, 0, 9, 7, 12, 13, 14, 11, 15]",DFS,False,Unsolvable,N/A,N/A,N/A
20,"[1, 2, 3, 4, 5, 10, 6, 8, 0, 9, 7, 12, 13, 14, 11, 15]",UCS,False,Unsolvable,N/A,N/A,N/A
20,"[1, 2, 3, 4, 5, 10, 6, 8, 0, 9, 7, 12, 13, 14, 11, 15]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
21,"[2, 6, 3, 4, 1, 0, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",BFS,True,8,704,1171,0.012003898620605469
21,"[2, 6, 3, 4, 1, 0, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",DFS,False,N/A,3302252,60,56.78891038894653
21,"[2, 6, 3, 4, 1, 0, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",UCS,True,8,704,1171,0.24429893493652344
21,"[2, 6, 3, 4, 1, 0, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",A* (Manhattan Distance),True,8,9,15,0.0009980201721191406
22,"[1, 2, 4, 7, 5, 6, 3, 0, 9, 10, 11, 8, 13, 14, 15, 12]",BFS,True,6,138,222,0.004004240036010742
22,"[1, 2, 4, 7, 5, 6, 3, 0, 9, 10, 11, 8, 13, 14, 15, 12]",DFS,False,N/A,2671244,60,478.67997694015503
22,"[1, 2, 4, 7, 5, 6, 3, 0, 9, 10, 11, 8, 13, 14, 15, 12]",UCS,True,6,138,222,0.005899190902709961
22,"[1, 2, 4, 7, 5, 6, 3, 0, 9, 10, 11, 8, 13, 14, 15, 12]",A* (Manhattan Distance),True,6,7,12,0.0
23,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15]",BFS,False,Unsolvable,N/A,N/A,N/A
23,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15]",DFS,False,Unsolvable,N/A,N/A,N/A
23,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15]",UCS,False,Unsolvable,N/A,N/A,N/A
23,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
24,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 11, 13, 14, 15, 12]",BFS,False,Unsolvable,N/A,N/A,N/A
24,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 11, 13, 14, 15, 12]",DFS,False,Unsolvable,N/A,N/A,N/A
24,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 11, 13, 14, 15, 12]",UCS,False,Unsolvable,N/A,N/A,N/A
24,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 11, 13, 14, 15, 12]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
25,"[1, 2, 3, 4, 5, 6, 8, 12, 9, 10, 11, 7, 13, 0, 14, 15]",BFS,True,8,1047,1727,0.04109954833984375
25,"[1, 2, 3, 4, 5, 6, 8, 12, 9, 10, 11, 7, 13, 0, 14, 15]",DFS,False,N/A,3945834,58,53.884272813797
25,"[1, 2, 3, 4, 5, 6, 8, 12, 9, 10, 11, 7, 13, 0, 14, 15]",UCS,True,8,1047,1727,0.31197071075439453
25,"[1, 2, 3, 4, 5, 6, 8, 12, 9, 10, 11, 7, 13, 0, 14, 15]",A* (Manhattan Distance),True,8,13,24,0.0
26,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 12, 8, 13, 14, 11, 15]",BFS,True,4,36,66,0.0009949207305908203
26,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 12, 8, 13, 14, 11, 15]",DFS,True,26,1735578,60,22.69216299057007
26,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 12, 8, 13, 14, 11, 15]",UCS,True,4,36,66,0.0009930133819580078
26,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 12, 8, 13, 14, 11, 15]",A* (Manhattan Distance),True,4,5,9,0.0010514259338378906
27,"[1, 2, 3, 4, 5, 0, 7, 8, 9, 6, 11, 12, 13, 10, 14, 15]",BFS,True,4,44,73,0.0009720325469970703
27,"[1, 2, 3, 4, 5, 0, 7, 8, 9, 6, 11, 12, 13, 10, 14, 15]",DFS,False,N/A,3302252,60,45.4339337348938
27,"[1, 2, 3, 4, 5, 0, 7, 8, 9, 6, 11, 12, 13, 10, 14, 15]",UCS,True,4,44,73,0.0019545555114746094
27,"[1, 2, 3, 4, 5, 0, 7, 8, 9, 6, 11, 12, 13, 10, 14, 15]",A* (Manhattan Distance),True,4,5,10,0.0
28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",BFS,True,2,10,19,0.0
28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",DFS,True,2,3,4,0.0
28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",UCS,True,2,10,19,0.0009753704071044922
28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",A* (Manhattan Distance),True,2,3,4,0.0
29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 14, 12, 0]",BFS,True,4,37,69,0.0
29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 14, 12, 0]",DFS,True,28,548788,56,7.054032802581787
29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 14, 12, 0]",UCS,True,4,37,69,0.0010027885437011719
29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 14, 12, 0]",A* (Manhattan Distance),True,4,5,8,0.0
30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",BFS,False,0,1,1,0.0
30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",DFS,False,0,1,1,0.0
30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",UCS,False,0,1,1,0.0
30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",A* (Manhattan Distance),False,0,1,0,0.0
31,"[2, 5, 3, 4, 1, 0, 7, 8, 9, 6, 10, 12, 13, 14, 11, 15]",BFS,True,8,736,1218,0.014997482299804688
31,"[2, 5, 3, 4, 1, 0, 7, 8, 9, 6, 10, 12, 13, 14, 11, 15]",DFS,False,N/A,3302252,60,45.79100155830383
31,"[2, 5, 3, 4, 1, 0, 7, 8, 9, 6, 10, 12, 13, 14, 11, 15]",UCS,True,8,736,1218,0.13499855995178223
31,"[2, 5, 3, 4, 1, 0, 7, 8, 9, 6, 10, 12, 13, 14, 11, 15]",A* (Manhattan Distance),True,8,9,19,0.0010023117065429688
32,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 0, 12, 13, 10, 14, 15]",BFS,False,Unsolvable,N/A,N/A,N/A
32,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 0, 12, 13, 10, 14, 15]",DFS,False,Unsolvable,N/A,N/A,N/A
32,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 0, 12, 13, 10, 14, 15]",UCS,False,Unsolvable,N/A,N/A,N/A
32,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 0, 12, 13, 10, 14, 15]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
33,"[1, 2, 3, 4, 5, 6, 11, 0, 9, 10, 8, 7, 13, 14, 15, 12]",BFS,True,6,173,280,0.0029997825622558594
33,"[1, 2, 3, 4, 5, 6, 11, 0, 9, 10, 8, 7, 13, 14, 15, 12]",DFS,False,N/A,2671244,60,36.739035844802856
33,"[1, 2, 3, 4, 5, 6, 11, 0, 9, 10, 8, 7, 13, 14, 15, 12]",UCS,True,6,173,280,0.008005380630493164
33,"[1, 2, 3, 4, 5, 6, 11, 0, 9, 10, 8, 7, 13, 14, 15, 12]",A* (Manhattan Distance),True,6,8,15,0.0
34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",BFS,True,2,10,19,0.0
34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",DFS,True,2,3,4,0.0
34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",UCS,True,2,10,19,0.0
34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",A* (Manhattan Distance),True,2,3,4,0.0
35,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",BFS,True,2,10,19,0.0
35,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",DFS,True,2,3,4,0.0
35,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",UCS,True,2,10,19,0.00101470947265625
35,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",A* (Manhattan Distance),True,2,3,4,0.0
36,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 11, 13, 0, 15, 12]",BFS,True,4,41,69,0.001973867416381836
36,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 11, 13, 0, 15, 12]",DFS,True,4,2037299,57,27.101879358291626
36,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 11, 13, 0, 15, 12]",UCS,True,4,41,69,0.002000093460083008
36,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 11, 13, 0, 15, 12]",A* (Manhattan Distance),True,4,5,10,0.0
37,"[1, 2, 3, 4, 5, 0, 7, 8, 13, 6, 15, 11, 10, 9, 14, 12]",BFS,True,10,3662,5858,0.11200165748596191
37,"[1, 2, 3, 4, 5, 0, 7, 8, 13, 6, 15, 11, 10, 9, 14, 12]",DFS,False,N/A,3302252,60,46.90537238121033
37,"[1, 2, 3, 4, 5, 0, 7, 8, 13, 6, 15, 11, 10, 9, 14, 12]",UCS,True,10,3662,5858,4.392595291137695
37,"[1, 2, 3, 4, 5, 0, 7, 8, 13, 6, 15, 11, 10, 9, 14, 12]",A* (Manhattan Distance),True,10,11,23,0.0
38,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",BFS,True,2,6,9,0.0009996891021728516
38,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",DFS,True,30,854113,60,12.954140186309814
38,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",UCS,True,2,6,9,0.0
38,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",A* (Manhattan Distance),True,2,3,4,0.0
39,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",BFS,False,Unsolvable,N/A,N/A,N/A
39,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",DFS,False,Unsolvable,N/A,N/A,N/A
39,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",UCS,False,Unsolvable,N/A,N/A,N/A
39,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
40,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 10, 11, 14, 0, 15, 12]",BFS,True,6,213,352,0.006997585296630859
40,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 10, 11, 14, 0, 15, 12]",DFS,True,28,2633003,58,70.32705616950989
40,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 10, 11, 14, 0, 15, 12]",UCS,True,6,213,352,0.09586715698242188
40,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 10, 11, 14, 0, 15, 12]",A* (Manhattan Distance),True,6,7,13,0.001001596450805664
41,"[0, 2, 3, 4, 1, 6, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",BFS,False,Unsolvable,N/A,N/A,N/A
41,"[0, 2, 3, 4, 1, 6, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",DFS,False,Unsolvable,N/A,N/A,N/A
41,"[0, 2, 3, 4, 1, 6, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",UCS,False,Unsolvable,N/A,N/A,N/A
41,"[0, 2, 3, 4, 1, 6, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
42,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 0, 12, 13, 10, 14, 15]",BFS,False,Unsolvable,N/A,N/A,N/A
42,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 0, 12, 13, 10, 14, 15]",DFS,False,Unsolvable,N/A,N/A,N/A
42,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 0, 12, 13, 10, 14, 15]",UCS,False,Unsolvable,N/A,N/A,N/A
42,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 0, 12, 13, 10, 14, 15]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
43,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 15, 8, 13, 14, 12, 11]",BFS,True,6,157,257,0.007944822311401367
43,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 15, 8, 13, 14, 12, 11]",DFS,True,30,1346538,60,38.111337423324585
43,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 15, 8, 13, 14, 12, 11]",UCS,True,6,157,257,0.014140129089355469
43,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 15, 8, 13, 14, 12, 11]",A* (Manhattan Distance),True,6,7,12,0.0009357929229736328
44,"[1, 2, 3, 4, 9, 5, 6, 8, 13, 10, 7, 11, 14, 0, 15, 12]",BFS,True,8,880,1449,0.03621721267700195
44,"[1, 2, 3, 4, 9, 5, 6, 8, 13, 10, 7, 11, 14, 0, 15, 12]",DFS,True,30,746585,57,20.31348156929016
44,"[1, 2, 3, 4, 9, 5, 6, 8, 13, 10, 7, 11, 14, 0, 15, 12]",UCS,True,8,880,1449,0.41980791091918945
44,"[1, 2, 3, 4, 9, 5, 6, 8, 13, 10, 7, 11, 14, 0, 15, 12]",A* (Manhattan Distance),True,8,9,18,0.0
45,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",BFS,True,2,6,9,0.0
45,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",DFS,True,30,854113,60,21.466540813446045
45,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",UCS,True,2,6,9,0.0
45,"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",A* (Manhattan Distance),True,2,3,4,0.0
46,"[1, 2, 3, 4, 5, 0, 6, 7, 9, 10, 11, 8, 13, 14, 15, 12]",BFS,True,4,72,114,0.001043558120727539
46,"[1, 2, 3, 4, 5, 0, 6, 7, 9, 10, 11, 8, 13, 14, 15, 12]",DFS,True,26,462622,60,11.951676368713379
46,"[1, 2, 3, 4, 5, 0, 6, 7, 9, 10, 11, 8, 13, 14, 15, 12]",UCS,True,4,72,114,0.00420832633972168
